Week Number,ISO Year,Date,Week Code
29,1931,1931-07-13,1931W29
30,1931,1931-07-20,1931W30
31,1931,1931-07-27,1931W31
32,1931,1931-08-03,1931W32
33,1931,1931-08-10,1931W33
34,1931,1931-08-17,1931W34
35,1931,1931-08-24,1931W35
36,1931,1931-08-31,1931W36
37,1931,1931-09-07,1931W37
38,1931,1931-09-14,1931W38
39,1931,1931-09-21,1931W39
40,1931,1931-09-28,1931W40
41,1931,1931-10-05,1931W41
42,1931,1931-10-12,1931W42
43,1931,1931-10-19,1931W43
44,1931,1931-10-26,1931W44
45,1931,1931-11-02,1931W45
46,1931,1931-11-09,1931W46
47,1931,1931-11-16,1931W47
48,1931,1931-11-23,1931W48
49,1931,1931-11-30,1931W49
50,1931,1931-12-07,1931W50
51,1931,1931-12-14,1931W51
52,1931,1931-12-21,1931W52
53,1931,1931-12-28,1931W53
1,1932,1932-01-04,1932W01
2,1932,1932-01-11,1932W02
3,1932,1932-01-18,1932W03
4,1932,1932-01-25,1932W04
5,1932,1932-02-01,1932W05
6,1932,1932-02-08,1932W06
7,1932,1932-02-15,1932W07
8,1932,1932-02-22,1932W08
9,1932,1932-02-29,1932W09
10,1932,1932-03-07,1932W10
11,1932,1932-03-14,1932W11
12,1932,1932-03-21,1932W12
13,1932,1932-03-28,1932W13
14,1932,1932-04-04,1932W14
15,1932,1932-04-11,1932W15
16,1932,1932-04-18,1932W16
17,1932,1932-04-25,1932W17
18,1932,1932-05-02,1932W18
19,1932,1932-05-09,1932W19
20,1932,1932-05-16,1932W20
21,1932,1932-05-23,1932W21
22,1932,1932-05-30,1932W22
23,1932,1932-06-06,1932W23
24,1932,1932-06-13,1932W24
25,1932,1932-06-20,1932W25
26,1932,1932-06-27,1932W26
27,1932,1932-07-04,1932W27
28,1932,1932-07-11,1932W28
29,1932,1932-07-18,1932W29
30,1932,1932-07-25,1932W30
31,1932,1932-08-01,1932W31
32,1932,1932-08-08,1932W32
33,1932,1932-08-15,1932W33
34,1932,1932-08-22,1932W34
35,1932,1932-08-29,1932W35
36,1932,1932-09-05,1932W36
37,1932,1932-09-12,1932W37
38,1932,1932-09-19,1932W38
39,1932,1932-09-26,1932W39
40,1932,1932-10-03,1932W40
41,1932,1932-10-10,1932W41
42,1932,1932-10-17,1932W42
43,1932,1932-10-24,1932W43
44,1932,1932-10-31,1932W44
45,1932,1932-11-07,1932W45
46,1932,1932-11-14,1932W46
47,1932,1932-11-21,1932W47
48,1932,1932-11-28,1932W48
49,1932,1932-12-05,1932W49
50,1932,1932-12-12,1932W50
51,1932,1932-12-19,1932W51
52,1932,1932-12-26,1932W52
1,1933,1933-01-02,1933W01
2,1933,1933-01-09,1933W02
3,1933,1933-01-16,1933W03
4,1933,1933-01-23,1933W04
5,1933,1933-01-30,1933W05
6,1933,1933-02-06,1933W06
7,1933,1933-02-13,1933W07
8,1933,1933-02-20,1933W08
9,1933,1933-02-27,1933W09
10,1933,1933-03-06,1933W10
11,1933,1933-03-13,1933W11
12,1933,1933-03-20,1933W12
13,1933,1933-03-27,1933W13
14,1933,1933-04-03,1933W14
15,1933,1933-04-10,1933W15
16,1933,1933-04-17,1933W16
17,1933,1933-04-24,1933W17
18,1933,1933-05-01,1933W18
